Name,Developer,Initial release,Latest release,Program­ming language,Cost (US$),License,GUI,TUI or CLI
Version,Date
Acme,Rob Pike,1993,Plan 9 and Inferno,,C,No cost,MITGPL-2.0-onlyLPL-1.02,,
Alphatk,Vince Darley,1999,8.3.3[1],2004-12-10,,$40,"Proprietary, with BSD components",,
Atom,GitHub,2014,1.63.1[2],2022-11-23,"HTML, CSS, JavaScript, C++",No cost,MIT,,
BBEdit,Rich Siegel,1992,15.5.2[3],2025-07-15,"Objective-C, Objective-C++","No cost for most features, $49.99 for full version",Proprietary,,
Bluefish,Bluefish Development Team,1999,2.2.17[4],2025-03-31,C,No cost,GPL-3.0-or-later,,
Brackets,Adobe Systems,2012,2.2.1[5],2023-03-22,"HTML, CSS, JavaScript, C++",No cost,MIT,,
Coda,Panic,2007,,,Objective-C,$99,Proprietary,,
ConTEXT,ConTEXT Project Ltd,1999,,,Object Pascal (Delphi),No cost,BSD-3-Clause,,
Crimson Editor,Ingyu Kang,1999,3.72-r286m[6],2011-10-01,C++,No cost,Proprietary,,
ed,Ken Thompson,1970,unchanged from original,,C,No cost,?,,
Editra,Cody Precord,2007,0.7.20,2013-01-05,Python,No cost,wxWindows license,,
EmEditor,"Emurasoft, Inc.",1997,21.3.0,2021-11-24,C++,$39.99,Shareware,,
epsilon,Lugaru Software,1984,14.00[7],2020-10-20,C,$250,Proprietary,,
FeatherPad,Pedram Pourang,2016,1.4.1[8],2023-06-12,"C++, Qt",No cost,GPL-3.0-or-later,,
FocusWriter,Graeme Gott,2008,1.8.13[9],2025-08-18,"C++, Qt",No cost,GPL-3.0-or-later,,
gedit,GNU Project,2000,48.0[10],2024-09-14,C,No cost,GPL-3.0,,
Geany,Enrico Tröger,2005,2.1.0[11],2025-07-06,"C, GTK+",No cost,GPL-2.0-or-later,,
GNU Emacs,Richard Stallman,1984,30.2[12],2025-08-14,"C, Emacs Lisp",No cost,GPL-3.0-or-later,,
GNU nano,Chris Allegretta,1999,8.7[13],2025-11-12,C,No cost,GPL-3.0-or-later,,
IA Writer,Information Architects,2010.09.22,7.2,2025-08-25,"Objective-C (iOS), Objective-C (macOS), C# (Windows), Java (Android)",$29.99,Proprietary,,
JED,John E. Davis,1992,0.99-19,2009-12-13,"C, S-Lang",No cost,GPL-2.0-or-later,,
jEdit,Slava Pestov,1998,5.7.0[14],2024-08-03,Java,No cost,GPL-2.0-or-later,,
JOE,Joseph Allen,1988,4.6[15],2018-01-09,C,No cost,GPL,,
JOVE,Johnathon Payne,1983,4.17.5.5[16],2025-05-14,C,No cost,JOVE license,,
Kate,KDE Project,2000-12,25.08.0[17],2025-08-14,C++,No cost,"LGPL, MIT",,
KEDIT,"Mansfield Software Group, Inc.",1983,1.6.1,2016-12-05,C,$129,Proprietary,,
